"phone number","group","full name","gender","address","birthday","email"
"34573457","codegy","Viet Hung","male","Hai Duong","1993-10-24","ndp16@gmail.com"
"38345345","codegy","Van Vu","male","Nam Dinh","1993-11-14","ndp16@gmail.com"
"031246235","codegy","Van Lien","male","Thai Binh","1989-03-21","ndp16@gmail.com"
"74686458","codegy","Anh Son","male","Dien Bien","1995-06-05","ndp16@gmail.com"
"86592324","codegy","Do Hiep","male","Ha Noi","1996-08-03","ndp16@gmail.com"
"7456845","codegy","Tuan Dat","male","Hue","1995-09-28","ndp16@gmail.com"
"23446735","codegy","The Tuyen","male","Ha Tinh","1990-02-14","ndp16@gmail.com"
"3458324","codegy","Quang Long","male","Ha Noi","1988-06-23","ndp16@gmail.com"
"34563573","codegy","Do Thanh","female","Hai Duong","1997-12-21","ndp16@gmail.com"
"35463589","codegy","Quoc Bao","male","Ha Noi","1991-11-16","ndp16@gmail.com"
"52347568","codegy","Tran Toan","male","Vinh Phuc","1994-05-12","ndp16@gmail.com"
"0347119005","java","Dinh Phu","male","Hai Phong","1992-01-16","dinhphu@gmail.com"
"0123456778","php","Nguyen Van A","other","Hai Phong","1995-04-21","noname@gmail.com.vn"
"1234567891","python","Nguyen Chi Pheo","other","Thai Binh","1996-05-23","fsdgd@gmail.org"
"1234567891","c++","Nguyen Long Bong","male","Hai PHong","1996-07-24","ndc@gmaik.com"
"02356267235","java","Nguyen Nhay","other","Nepal","1995-02-06","abcd@gmail.com"
"0123456789","java","Nguyen Nhay Nhay","other","Hai Phong","1994-01-04","nhaynhay@gmauk.com"
